"Date","year","month","day","Pandemic_Phase","Transport_Mode","Total_Ridership","Usage_Ratio"
2020-04-10,2020,4,10,"Peak-Lockdown","MetroNorth",9573,0.03
2020-04-10,2020,4,10,"Peak-Lockdown","StatenIslandRailway",672,0.04
2020-04-10,2020,4,10,"Peak-Lockdown","AccessARide",5378,0.19
2020-04-10,2020,4,10,"Peak-Lockdown","BridgesTunnels",314099,0.33
2020-04-11,2020,4,11,"Peak-Lockdown","Subway",257061,0.08
2020-04-11,2020,4,11,"Peak-Lockdown","Bus",9718,0.01
2020-04-11,2020,4,11,"Peak-Lockdown","LIRR",2749,0.02
2020-04-11,2020,4,11,"Peak-Lockdown","MetroNorth",4179,0.03
2020-04-11,2020,4,11,"Peak-Lockdown","StatenIslandRailway",406,0.08
2020-04-11,2020,4,11,"Peak-Lockdown","AccessARide",4235,0.25
2020-04-11,2020,4,11,"Peak-Lockdown","BridgesTunnels",254754,0.28
2020-04-12,2020,4,12,"Peak-Lockdown","Subway",198399,0.08
2020-04-12,2020,4,12,"Peak-Lockdown","Bus",7041,0.01
2020-04-12,2020,4,12,"Peak-Lockdown","LIRR",2245,0.02
2020-04-12,2020,4,12,"Peak-Lockdown","MetroNorth",3281,0.03
2020-04-12,2020,4,12,"Peak-Lockdown","StatenIslandRailway",294,0.09
2020-04-12,2020,4,12,"Peak-Lockdown","AccessARide",2525,0.14
2020-04-12,2020,4,12,"Peak-Lockdown","BridgesTunnels",217871,0.25
2020-04-13,2020,4,13,"Peak-Lockdown","Subway",363312,0.07
2020-04-13,2020,4,13,"Peak-Lockdown","Bus",14408,0.01
2020-04-13,2020,4,13,"Peak-Lockdown","LIRR",8192,0.03
2020-04-13,2020,4,13,"Peak-Lockdown","MetroNorth",8824,0.03
2020-04-13,2020,4,13,"Peak-Lockdown","StatenIslandRailway",649,0.04
2020-04-13,2020,4,13,"Peak-Lockdown","AccessARide",6205,0.21
2020-04-13,2020,4,13,"Peak-Lockdown","BridgesTunnels",284608,0.3
2020-04-14,2020,4,14,"Peak-Lockdown","Subway",430155,0.08
2020-04-14,2020,4,14,"Peak-Lockdown","Bus",17937,0.01
2020-04-14,2020,4,14,"Peak-Lockdown","LIRR",8816,0.03
2020-04-14,2020,4,14,"Peak-Lockdown","MetroNorth",9592,0.03
2020-04-14,2020,4,14,"Peak-Lockdown","StatenIslandRailway",791,0.05
2020-04-14,2020,4,14,"Peak-Lockdown","AccessARide",6585,0.23
2020-04-14,2020,4,14,"Peak-Lockdown","BridgesTunnels",356104,0.38
2020-04-15,2020,4,15,"Peak-Lockdown","Subway",419059,0.08
2020-04-15,2020,4,15,"Peak-Lockdown","Bus",16895,0.01
2020-04-15,2020,4,15,"Peak-Lockdown","LIRR",8596,0.03
2020-04-15,2020,4,15,"Peak-Lockdown","MetroNorth",9492,0.03
2020-04-15,2020,4,15,"Peak-Lockdown","StatenIslandRailway",792,0.05
2020-04-15,2020,4,15,"Peak-Lockdown","AccessARide",6928,0.24
2020-04-15,2020,4,15,"Peak-Lockdown","BridgesTunnels",340212,0.36
2020-04-16,2020,4,16,"Peak-Lockdown","Subway",420223,0.08
2020-04-16,2020,4,16,"Peak-Lockdown","Bus",16632,0.01
2020-04-16,2020,4,16,"Peak-Lockdown","LIRR",8462,0.03
2020-04-16,2020,4,16,"Peak-Lockdown","MetroNorth",9528,0.03
2020-04-16,2020,4,16,"Peak-Lockdown","StatenIslandRailway",790,0.05
2020-04-16,2020,4,16,"Peak-Lockdown","AccessARide",6563,0.23
2020-04-16,2020,4,16,"Peak-Lockdown","BridgesTunnels",346341,0.37
2020-04-17,2020,4,17,"Peak-Lockdown","Subway",432368,0.08
2020-04-17,2020,4,17,"Peak-Lockdown","Bus",16350,0.01
2020-04-17,2020,4,17,"Peak-Lockdown","LIRR",8271,0.03
2020-04-17,2020,4,17,"Peak-Lockdown","MetroNorth",9989,0.03
2020-04-17,2020,4,17,"Peak-Lockdown","StatenIslandRailway",738,0.05
2020-04-17,2020,4,17,"Peak-Lockdown","AccessARide",7048,0.24
2020-04-17,2020,4,17,"Peak-Lockdown","BridgesTunnels",378350,0.4
2020-04-18,2020,4,18,"Peak-Lockdown","Subway",254453,0.08
2020-04-18,2020,4,18,"Peak-Lockdown","Bus",8115,0.01
2020-04-18,2020,4,18,"Peak-Lockdown","LIRR",2449,0.02
2020-04-18,2020,4,18,"Peak-Lockdown","MetroNorth",3965,0.03
2020-04-18,2020,4,18,"Peak-Lockdown","StatenIslandRailway",339,0.07
2020-04-18,2020,4,18,"Peak-Lockdown","AccessARide",4202,0.25
2020-04-18,2020,4,18,"Peak-Lockdown","BridgesTunnels",254734,0.28
2020-04-19,2020,4,19,"Peak-Lockdown","Subway",224411,0.09
2020-04-19,2020,4,19,"Peak-Lockdown","Bus",6929,0.01
2020-04-19,2020,4,19,"Peak-Lockdown","LIRR",2159,0.02
2020-04-19,2020,4,19,"Peak-Lockdown","MetroNorth",3884,0.04
2020-04-19,2020,4,19,"Peak-Lockdown","StatenIslandRailway",340,0.1
2020-04-19,2020,4,19,"Peak-Lockdown","AccessARide",2742,0.15
2020-04-19,2020,4,19,"Peak-Lockdown","BridgesTunnels",276406,0.32
2020-04-20,2020,4,20,"Peak-Lockdown","Subway",437852,0.08
2020-04-20,2020,4,20,"Peak-Lockdown","Bus",16522,0.01
2020-04-20,2020,4,20,"Peak-Lockdown","LIRR",8912,0.03
2020-04-20,2020,4,20,"Peak-Lockdown","MetroNorth",10063,0.04
2020-04-20,2020,4,20,"Peak-Lockdown","StatenIslandRailway",770,0.05
2020-04-20,2020,4,20,"Peak-Lockdown","AccessARide",7050,0.24
2020-04-20,2020,4,20,"Peak-Lockdown","BridgesTunnels",371776,0.4
2020-04-21,2020,4,21,"Peak-Lockdown","Subway",422107,0.08
